business_id,cn_pop_sqmi,nn_count,nn_percent_rest,nn_all_percent_open,nn_max_cat_sim,nn_min_cat_sim,nn_avg_stars,nn_max_stars,nn_min_stars,nn_avg_review_count,nn_max_review_count,nn_min_review_count,nn_rest_avg_stars,nn_rest_max_stars,nn_rest_min_stars,nn_rest_avg_review_count,nn_rest_max_review_count,nn_rest_min_review_count,nn_weighted_avg_stars,nn_weighted_avg_review_count,nn_rest_percent_open,nn_mean_cat_sim,cn_opyear_emp,cn_opyear_qp1,cn_opyear_ap,cn_opyear_est,cn_opyear_zip_est,cn_opyear_diff_emp,cn_opyear_diff_qp1,cn_opyear_diff_ap,cn_opyear_diff_est,cn_opyear_diff_zip_est
LPnbHWVedn2oX3WGkHOJSQ,5296.69,204,39,59,3,0,3.544117647058824,5.0,1.5,142.33333333333334,1853,3,3.4506172839506166,4.5,2.0,199.55555555555557,1590,3,3.3,115.4,48,0.1851851851851852,77634,363239,1561994,3632,37.0,0.06960556844547564,4.215213443237211,6.720332214428071,-0.7921332969134116,-17.77777777777778
oL_fYqSHG63vR0TBMyoo_A,5296.69,326,10,79,3,0,3.710122699386503,5.0,1.0,47.429447852760745,1022,3,3.5285714285714285,5.0,2.0,221.11428571428573,1022,3,3.7857142857142856,244.35714285714286,54,0.4,89310,429714,1830119,4020,47.0,1.4540497557650802,-4.9816138668813,-2.0254256932588777,2.971311475409836,2.1739130434782608
xRaHt2GknSD7yermc-fxYQ,5296.69,4,50,100,1,0,4.0,4.0,4.0,40.25,134,7,4.0,4.0,4.0,73.0,134,12,4.0,134.0,100,0.5,77634,363239,1561994,3632,37.0,0.06960556844547564,4.215213443237211,6.720332214428071,-0.7921332969134116,-17.77777777777778
aHpsw58YOeHnoQt8Vn5O2w,5296.69,157,12,82,2,0,3.5732484076433124,5.0,1.5,47.15923566878982,1008,3,3.421052631578948,4.5,2.0,169.73684210526315,964,3,3.2222222222222223,112.11111111111113,57,0.4736842105263158,80733,395225,1632905,3777,44.0,3.9918077131153877,8.805772507908017,4.539774160464124,3.9922907488986783,18.91891891891892
zMDYrtWiQjR5odg-6Gf6kQ,5296.69,272,34,65,3,0,3.4963235294117645,5.0,1.0,125.13602941176471,1853,3,3.421052631578948,4.5,2.0,185.85263157894738,1590,3,3.3717948717948723,204.43589743589746,53,0.4105263157894737,80733,395225,1632905,3777,44.0,3.9918077131153877,8.805772507908017,4.539774160464124,3.9922907488986783,18.91891891891892
hJgdrSbwhkp3-GbAyS79Gg,5296.69,2,50,100,0,0,3.0,4.5,1.5,398.0,415,381,4.5,4.5,4.5,415.0,415,415,-1.0,-1.0,100,0.0,76479,331289,1369444,3630,43.0,-6.665771713794072,-3.6379131810724963,-2.440894004233077,-1.2244897959183674,-6.521739130434782
3ajqOW9A7VhResA08I7RTg,5296.69,215,37,60,2,0,3.527906976744186,5.0,1.5,121.4511627906977,1853,3,3.425,4.5,2.0,161.15,991,3,3.53125,328.5,42,0.2,77634,363239,1561994,3632,37.0,0.06960556844547564,4.215213443237211,6.720332214428071,-0.7921332969134116,-17.77777777777778
inkeT1aob-iZWbj3o_UQCA,5296.69,15,40,73,1,0,2.933333333333333,5.0,1.0,16.733333333333334,69,3,2.333333333333333,4.0,1.0,27.33333333333333,69,5,4.0,13.0,50,0.16666666666666666,77634,363239,1561994,3632,37.0,0.06960556844547564,4.215213443237211,6.720332214428071,-0.7921332969134116,-17.77777777777778
hH-4ogdPgACvrcyiccwdPA,5296.69,80,11,71,0,0,3.75,5.0,1.5,66.7875,964,3,3.6666666666666665,4.5,2.5,276.3333333333333,964,3,-1.0,-1.0,55,0.0,76479,331289,1369444,3630,43.0,-6.665771713794072,-3.6379131810724963,-2.440894004233077,-1.2244897959183674,-6.521739130434782
gOOc6MDdhw7fV0Tf30mfAQ,5296.69,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1,-1.0,81941,343796,1403707,3675,46.0,7.94351279788173,7.129257720843707,5.998390058839876,5.210420841683367,9.523809523809524
