business_id,is_open,successful,stars,review_count,pop_sqmi,nn_count,nn_percent_rest,nn_all_percent_open,nn_max_cat_sim,nn_min_cat_sim,nn_avg_stars,nn_max_stars,nn_min_stars,nn_avg_review_count,nn_max_review_count,nn_min_review_count,nn_rest_avg_stars,nn_rest_max_stars,nn_rest_min_stars,nn_rest_avg_review_count,nn_rest_max_review_count,nn_rest_min_review_count,nn_weighted_avg_stars,nn_weighted_avg_review_count,nn_weighted_sum_stars,nn_weighted_sum_review_count,nn_rest_percent_open,nn_mean_cat_sim,cn_opyear_emp,cn_opyear_qp1,cn_opyear_ap,cn_opyear_est,cn_opyear_zip_est,cn_opyear_diff_emp,cn_opyear_diff_qp1,cn_opyear_diff_ap,cn_opyear_diff_est,cn_opyear_diff_zip_est
vJIuDBdu01vCA8y1fwR1OQ,0,False,1.5,3,5296.69,44,31,84,3,0,3.4431818181818183,5.0,1.0,33.22727272727273,415,3,3.071428571428572,4.5,1.5,50.85714285714285,415,3,2.875,29.625,-1,-1,64,0.5714285714285714,92482,455339,1888151,4153,46.0,3.551673944687045,5.963268592598799,3.17094134315856,3.308457711442786,-2.127659574468085
LPnbHWVedn2oX3WGkHOJSQ,1,True,3.5,47,5296.69,649,27,76,5,0,3.7419106317411397,5.0,1.0,87.30970724191063,1963,3,3.5921787709497206,5.0,1.5,195.0614525139665,1963,3,3.8,131.12,-1,-1,63,0.2793296089385475,77634,363239,1561994,3632,37.0,0.06960556844547564,4.215213443237211,6.720332214428071,-0.7921332969134116,-17.77777777777778
oL_fYqSHG63vR0TBMyoo_A,1,False,2.0,25,5296.69,509,11,83,5,0,3.8005893909626716,5.0,1.0,41.292730844793724,1022,3,3.6229508196721314,5.0,2.0,183.01639344262298,1022,3,3.6571428571428566,171.77142857142857,-1,-1,68,0.5737704918032787,89310,429714,1830119,4020,47.0,1.4540497557650802,-4.9816138668813,-2.0254256932588777,2.971311475409836,2.1739130434782608
xRaHt2GknSD7yermc-fxYQ,0,False,3.5,14,5296.69,36,33,88,5,0,3.6944444444444446,5.0,1.0,15.583333333333336,134,3,3.1666666666666665,5.0,1.5,24.75,134,3,3.8125,31.875,-1,-1,75,0.6666666666666666,77634,363239,1561994,3632,37.0,0.06960556844547564,4.215213443237211,6.720332214428071,-0.7921332969134116,-17.77777777777778
aHpsw58YOeHnoQt8Vn5O2w,0,False,3.0,4,5296.69,331,14,86,4,0,3.5996978851963752,5.0,1.0,37.422960725075534,1008,3,3.4183673469387754,5.0,1.5,119.91836734693878,964,3,3.5125,108.75,-1,-1,71,0.8163265306122449,80733,395225,1632905,3777,44.0,3.9918077131153877,8.805772507908017,4.539774160464124,3.9922907488986783,18.91891891891892
zMDYrtWiQjR5odg-6Gf6kQ,0,False,3.5,3,5296.69,655,27,76,4,0,3.741221374045802,5.0,1.0,86.78778625954199,1963,3,3.5921787709497206,5.0,1.5,195.0614525139665,1963,3,3.732673267326733,216.07920792079207,-1,-1,63,0.5642458100558659,80733,395225,1632905,3777,44.0,3.9918077131153877,8.805772507908017,4.539774160464124,3.9922907488986783,18.91891891891892
hJgdrSbwhkp3-GbAyS79Gg,0,False,4.0,11,5296.69,51,29,82,2,0,3.4705882352941178,5.0,1.0,30.058823529411764,415,3,3.1333333333333333,4.5,1.5,48.6,415,3,3.375,11.25,-1,-1,60,0.26666666666666666,76479,331289,1369444,3630,43.0,-6.665771713794072,-3.6379131810724963,-2.440894004233077,-1.2244897959183674,-6.521739130434782
o3Re9LeqDZvVURFUGndwEg,0,False,3.0,3,5296.69,53,28,81,6,0,3.0283018867924527,5.0,1.0,14.264150943396224,69,3,2.933333333333333,5.0,1.0,20.466666666666665,69,3,2.958333333333333,13.083333333333336,-1,-1,60,0.8,89310,429714,1830119,4020,47.0,1.4540497557650802,-4.9816138668813,-2.0254256932588777,2.971311475409836,2.1739130434782608
3ajqOW9A7VhResA08I7RTg,1,True,3.5,788,5296.69,723,28,74,2,0,3.7130013831258646,5.0,1.0,93.13001383125864,2117,3,3.633971291866029,5.0,1.5,206.98564593301438,2117,3,3.737704918032787,409.672131147541,-1,-1,62,0.29186602870813394,77634,363239,1561994,3632,37.0,0.06960556844547564,4.215213443237211,6.720332214428071,-0.7921332969134116,-17.77777777777778
inkeT1aob-iZWbj3o_UQCA,1,False,2.0,9,5296.69,51,29,82,1,0,3.0588235294117645,5.0,1.0,15.019607843137255,69,3,2.933333333333333,5.0,1.0,20.466666666666665,69,3,3.4,9.0,-1,-1,60,0.3333333333333333,77634,363239,1561994,3632,37.0,0.06960556844547564,4.215213443237211,6.720332214428071,-0.7921332969134116,-17.77777777777778
hH-4ogdPgACvrcyiccwdPA,1,False,2.5,18,5296.69,464,12,83,5,0,3.766163793103448,5.0,1.0,40.68534482758621,1022,3,3.5982142857142856,5.0,2.0,182.125,1022,3,3.452380952380953,152.64285714285714,-1,-1,69,0.75,76479,331289,1369444,3630,43.0,-6.665771713794072,-3.6379131810724963,-2.440894004233077,-1.2244897959183674,-6.521739130434782
gOOc6MDdhw7fV0Tf30mfAQ,1,True,4.5,415,5296.69,36,33,88,3,0,3.4027777777777777,5.0,1.0,37.02777777777778,415,3,3.0416666666666665,4.5,1.5,57.83333333333334,415,3,4.416666666666667,244.16666666666663,-1,-1,75,0.5,81941,343796,1403707,3675,46.0,7.94351279788173,7.129257720843707,5.998390058839876,5.210420841683367,9.523809523809524
mOaHJZYTsgB0G_TIKykFAA,1,True,4.0,134,5296.69,40,35,87,3,0,3.4875,5.0,1.0,34.225,415,3,3.321428571428572,5.0,1.5,51.64285714285714,415,3,3.727272727272727,88.0,-1,-1,71,0.7857142857142857,77580,348547,1463633,3661,45.0,1.4396108735731379,5.20934893703081,6.877900812300466,0.8539944903581268,4.651162790697675
XBikK0GMqJTF5d_bI3VSkA,1,False,3.0,61,5296.69,711,29,74,2,0,3.709563994374121,5.0,1.0,94.49367088607596,2117,3,3.633971291866029,5.0,1.5,206.98564593301438,2117,3,3.57,277.52,-1,-1,62,0.23923444976076555,80733,395225,1632905,3777,44.0,3.9918077131153877,8.805772507908017,4.539774160464124,3.9922907488986783,18.91891891891892
ckc3l8cSuggloG4NlquEFQ,0,False,2.0,5,5296.69,493,12,83,1,0,3.783975659229209,5.0,1.0,41.582150101419884,1022,3,3.658333333333333,5.0,2.0,183.3,1022,3,2.6,24.3,-1,-1,71,0.16666666666666666,80733,395225,1632905,3777,44.0,3.9918077131153877,8.805772507908017,4.539774160464124,3.9922907488986783,18.91891891891892
